date,AQI,temp,dew,press,wnd_dir,wnd_spd,exp,PM2.5,PM10,CO2,NO2,OZONE,SO2,W
2018/1/1 0:00,254,2.5,1.7,1029.1,4,2,0.83,204,251,1.8,113,3,12,65.74 
2018/1/1 1:00,254,4,3,1029.1,5,1,0.71,204,251,1.8,113,3,12,65.72 
2018/1/1 2:00,262,7,3,1029.1,5,1,0.42,212,256,1.9,110,3,11,66.70 
2018/1/1 3:00,89,8.1,1.5,1029,4,2,0.6,66,76,0.9,29,55,13,27.39 
2018/1/1 4:00,142,10,1,1029,2,3,0.36,108,124,1.2,29,63,14,38.28 
2018/1/1 5:00,165,11,-1,1029,2,3,0.28,125,142,1.3,27,69,14,42.62 
2018/1/1 6:00,165,11.2,-1.9,1025.4,1,3,0.54,125,139,1.3,24,75,14,42.54 
2018/1/1 7:00,195,12,1,1025.4,2,4,0.48,146,163,1.4,27,72,15,47.88 
2018/1/1 8:00,204,11,2,1025.4,2,4,0.62,154,171,1.4,35,64,17,49.89 
2018/1/1 9:00,203,9.7,1.4,1025.3,2,3,0.9,153,169,1.5,41,59,19,49.82 
2018/1/1 10:00,153,7,1,1025.3,1,4,1.41,117,155,1.9,85,7,10,42.48 
2018/1/1 11:00,189,7,2,1025.3,2,3,1.63,142,183,1.7,89,33,14,52.15 
2018/1/1 12:00,224,8,1.5,1026.6,2,3,1.96,174,215,1.7,93,52,17,62.18 
2018/1/1 13:00,225,8,3,1026.6,2,4,1.67,175,220,1.5,53,98,18,63.69 
2018/1/1 14:00,215,8,3,1026.6,2,3,2.25,165,218,1.4,38,121,17,63.07 
2018/1/1 15:00,180,7.7,2.5,1026.5,2,2,3,136,183,1.2,29,141,17,57.13 
2018/1/1 16:00,210,7,3,1026.5,1,2,2.46,160,208,1.3,36,138,16,62.75 
2018/1/1 17:00,238,8,3,1026.5,2,2,2.47,188,236,1.5,45,131,14,69.11 
2018/1/1 18:00,182,7.5,2.7,1026.1,7,2,2.07,137,180,1.3,37,116,12,54.93 
2018/1/1 19:00,92,8,3,1026.1,1,2,1.4,68,108,1,33,89,10,34.82 
2018/1/1 20:00,69,8,3,1026.1,1,2,1.33,49,87,0.9,37,72,8,28.69 
2018/1/1 21:00,76,7.5,2.8,1025.1,4,1,1.21,50,102,0.9,42,58,9,29.79 
2018/1/1 22:00,76,8,4,1025.1,0,1,0.8,50,102,0.9,42,58,9,29.30 
2018/1/1 23:00,76,8,4,1025.1,5,2,0.51,50,102,0.9,42,58,9,29.93 
2018/1/2 0:00,152,7.7,4,1025.9,4,1,0.52,116,116,1.2,53,47,10,38.75 
2018/1/2 1:00,118,10,4,1025.9,4,1,0.47,89,117,1.2,49,52,10,35.96 
2018/1/2 2:00,115,11,5,1025.9,3,2,0.44,87,112,1.1,42,55,13,35.06 
2018/1/2 3:00,113,10.2,3.6,1025.6,3,1,0.34,85,106,1.1,44,50,14,33.83 
2018/1/2 4:00,108,13,5,1025.6,3,1,0.26,81,103,1,47,48,15,33.25 
2018/1/2 5:00,102,13,5,1025.6,0,0,0.2,76,115,1,54,41,15,33.58 
2018/1/2 6:00,100,12.5,4.4,1023.3,3,1,0.14,75,101,1,65,28,16,32.24 
2018/1/2 7:00,108,14,6,1023.3,1,2,1.15,81,103,1.1,88,4,14,32.81 
2018/1/2 8:00,139,14,7,1023.3,1,3,5.02,106,109,1.2,90,5,16,37.36 
2018/1/2 9:00,137,12,5.4,1023.6,0,2,2.7,104,124,1.3,84,12,27,39.67 
2018/1/2 10:00,148,12,8,1023.6,2,2,1.63,113,128,1.4,86,16,34,42.67 
2018/1/2 11:00,132,13,8,1023.6,0,2,1.16,100,117,1.3,91,17,29,39.83 
2018/1/2 12:00,123,11,6.6,1024.2,7,3,0.97,93,113,1.3,89,26,22,39.47 
2018/1/2 13:00,104,12,8,1024.2,0,2,1.13,78,102,1.1,68,42,13,34.14 
2018/1/2 14:00,110,12,8,1024.2,7,3,1.36,83,106,1.1,68,38,13,35.61 
2018/1/2 15:00,97,10.5,6.5,1025.1,7,3,1.44,72,99,1.1,89,26,15,34.84 
2018/1/2 16:00,77,11,9,1025.1,7,2,1.83,56,86,0.6,75,27,21,30.71 
2018/1/2 17:00,74,11,9,1025.1,7,3,2.27,54,87,0.6,80,19,13,29.54 
2018/1/2 18:00,73,10,7.5,1026.1,0,3,4.33,53,89,0.7,93,4,15,29.11 
2018/1/2 19:00,79,10,9,1026.1,7,3,1.9,58,92,0.7,93,2,11,29.84 
2018/1/2 20:00,103,10,10,1026.1,7,3,0.85,77,112,1,91,3,13,34.21 
2018/1/2 21:00,103,9,8.4,1026.7,0,3,1.02,77,118,1,90,2,15,34.11 
2018/1/2 22:00,103,11,10,1026.7,7,3,0.52,77,118,1,90,2,15,34.84 
2018/1/2 23:00,132,10,10,1026.7,1,5,0.64,100,138,1.1,95,2,32,41.64 
2018/1/3 0:00,110,9.2,8.7,1028.8,0,4,0.59,83,122,1,85,1,22,35.40 
2018/1/3 1:00,95,9,9,1028.8,0,6,0.36,71,110,0.9,79,1,19,31.92 
2018/1/3 2:00,83,9,8,1028.8,0,5,0.36,61,98,0.7,75,1,19,28.90 
2018/1/3 3:00,84,8.2,7.4,1029.5,0,4,0.3,62,94,0.7,72,1,14,27.56 
2018/1/3 4:00,69,9,8,1029.5,0,5,0.33,50,77,0.8,73,1,9,24.01 
2018/1/3 5:00,53,9,8,1029.5,0,5,0.37,29,56,0.8,73,1,7,19.13 
2018/1/3 6:00,50,8.1,7.3,1028.2,0,4,0.43,24,50,0.8,68,1,8,17.36 
2018/1/3 7:00,41,9,8,1028.2,0,7,1.62,16,41,0.5,48,18,6,15.35 
2018/1/3 8:00,39,8,7,1028.2,1,6,7.24,15,39,0.5,51,24,5,16.53 
2018/1/3 9:00,37,7.1,6.4,1029,0,5,5.7,14,37,0.5,39,43,5,16.58 
2018/1/3 10:00,42,7,6,1029,1,7,4.75,23,42,0.5,46,40,4,18.69 
2018/1/3 11:00,46,7,6,1029,0,6,2.82,28,46,0.5,50,40,5,19.81 
2018/1/3 12:00,45,5.6,4.6,1030.9,0,5,1.47,25,45,0.6,54,36,5,19.12 
2018/1/3 13:00,42,6,5,1030.9,1,6,1.52,23,42,0.6,56,32,5,18.57 
2018/1/3 14:00,39,6,5,1030.9,1,5,3.11,21,39,0.6,55,29,5,17.63 
2018/1/3 15:00,37,5,4.3,1030.7,0,5,2.43,22,37,0.5,50,31,5,16.99 
2018/1/3 16:00,40,5,4,1030.7,1,5,3.43,28,40,0.5,53,29,4,18.21 
2018/1/3 17:00,45,5,4,1030.7,0,4,2.88,31,41,0.6,47,35,4,18.39 
2018/1/3 18:00,43,4.6,3.9,1029.9,0,4,6.41,30,41,0.6,52,27,4,18.33 
2018/1/3 19:00,54,5,4,1029.9,1,5,5.95,38,46,0.6,43,42,3,20.51 
2018/1/3 20:00,60,5,4,1029.9,1,4,1.36,43,49,0.6,52,30,4,20.55 
2018/1/3 21:00,49,4.2,3.6,1028.4,1,3,1.12,34,42,0.6,54,22,4,17.97 
2018/1/3 22:00,35,5,4,1028.4,1,4,0.82,23,35,0.5,48,24,4,15.59 
2018/1/3 23:00,32,5,4,1028.4,1,5,0.72,20,32,0.5,49,20,3,14.58 
2018/1/4 0:00,30,4.2,3.3,1028.1,0,3,0.56,19,30,0.5,45,24,3,13.90 
2018/1/4 1:00,29,5,4,1028.1,0,5,0.49,18,29,0.5,44,23,3,13.67 
2018/1/4 2:00,27,5,4,1028.1,0,4,0.41,15,27,0.5,45,22,3,12.99 
2018/1/4 3:00,24,4.5,3.5,1026.9,0,3,0.3,15,24,0.4,45,21,3,12.41 
2018/1/4 4:00,22,5,5,1026.9,0,4,0.16,13,22,0.4,44,21,3,11.95 
2018/1/4 5:00,21,6,5,1026.9,0,5,0.25,11,20,0.4,41,25,3,11.74 
2018/1/4 6:00,20,4.7,4.1,1023.4,0,2,0.36,12,18,0.4,40,25,3,11.20 
2018/1/4 7:00,26,6,5,1023.4,0,4,1.63,13,18,0.4,52,12,3,11.56 
2018/1/4 8:00,29,6,5,1023.4,0,3,7.26,16,19,0.5,58,7,3,12.64 
2018/1/4 9:00,27,5.2,4.6,1022.7,0,2,5.35,16,19,0.5,54,11,3,12.32 
2018/1/4 10:00,27,6,5,1022.7,0,3,4.51,17,18,0.5,54,12,4,12.56 
2018/1/4 11:00,27,6,5,1022.7,0,3,3.17,16,18,0.5,54,13,4,12.41 
2018/1/4 12:00,28,5.2,4.6,1022.9,0,4,1.2,15,18,0.5,56,11,4,12.19 
2018/1/4 13:00,28,6,5,1022.9,7,4,1.68,16,17,0.6,55,12,3,12.92 
2018/1/4 14:00,30,6,5,1022.9,7,4,2.67,14,16,0.5,59,11,3,13.02 
2018/1/4 15:00,33,4.7,4,1023.9,0,2,2.28,13,15,0.5,65,7,3,11.98 
2018/1/4 16:00,35,5,4,1023.9,7,4,3.61,14,16,0.5,70,5,4,13.79 
2018/1/4 17:00,36,4,3,1023.9,7,7,2.98,15,16,0.6,71,4,4,14.18 
